성별,나이,직업,이용 횟수,호선,지불방법
여성,10대,회사원,16,3호선,교통카드
남성,50대,학생,66,4호선,교통카드
남성,10대,학생,34,7호선,교통카드
남성,40대,기타,13,9호선,교통카드
남성,60대 이상,자영업,59,7호선,신용카드
남성,40대,학생,68,9호선,현금
남성,30대,회사원,66,6호선,현금
여성,50대,학생,83,2호선,현금
남성,10대,자영업,15,8호선,교통카드
여성,10대,기타,66,6호선,신용카드
남성,10대,무직,74,3호선,현금
여성,60대 이상,기타,59,8호선,교통카드
여성,40대,회사원,66,8호선,교통카드
남성,40대,기타,10,4호선,교통카드
여성,10대,자영업,50,2호선,현금
남성,40대,기타,82,9호선,현금
남성,60대 이상,회사원,89,8호선,신용카드
남성,40대,자영업,44,2호선,교통카드
남성,60대 이상,회사원,89,9호선,현금
남성,10대,회사원,16,4호선,신용카드
여성,40대,무직,54,7호선,신용카드
남성,10대,회사원,95,3호선,교통카드
여성,30대,무직,46,5호선,현금
남성,10대,자영업,88,9호선,현금
남성,10대,무직,40,5호선,신용카드
남성,20대,회사원,35,5호선,교통카드
남성,10대,자영업,32,4호선,현금
여성,30대,기타,86,5호선,신용카드
여성,30대,자영업,7,5호선,교통카드
여성,50대,학생,37,8호선,신용카드
여성,20대,학생,31,4호선,현금
남성,20대,기타,63,9호선,현금
여성,60대 이상,자영업,30,7호선,현금
여성,40대,학생,93,2호선,교통카드
남성,50대,학생,69,4호선,신용카드
여성,20대,회사원,24,3호선,현금
여성,60대 이상,회사원,66,7호선,신용카드
여성,60대 이상,자영업,7,8호선,교통카드
남성,50대,회사원,56,8호선,현금
여성,40대,자영업,20,3호선,교통카드
여성,30대,기타,31,2호선,교통카드
여성,40대,회사원,99,8호선,신용카드
여성,30대,자영업,36,5호선,신용카드
남성,20대,회사원,2,3호선,교통카드
남성,30대,학생,35,5호선,현금
남성,30대,회사원,68,6호선,현금
여성,20대,자영업,3,4호선,현금
여성,50대,학생,29,1호선,신용카드
여성,40대,학생,99,1호선,현금
남성,20대,학생,86,8호선,현금
남성,10대,무직,17,4호선,현금
여성,50대,학생,73,7호선,현금
남성,50대,자영업,66,4호선,현금
남성,10대,무직,29,3호선,교통카드
남성,10대,기타,6,2호선,신용카드
여성,30대,회사원,76,5호선,현금
남성,50대,회사원,91,1호선,교통카드
여성,10대,기타,25,4호선,신용카드
남성,40대,기타,1,6호선,현금
남성,40대,기타,50,5호선,현금
남성,20대,기타,54,8호선,현금
남성,60대 이상,학생,34,3호선,교통카드
남성,40대,기타,95,9호선,교통카드
남성,20대,학생,81,8호선,교통카드
남성,20대,자영업,97,5호선,신용카드
남성,50대,무직,92,7호선,신용카드
남성,50대,기타,55,9호선,교통카드
남성,10대,자영업,53,7호선,교통카드
남성,60대 이상,무직,75,8호선,현금
여성,60대 이상,자영업,56,7호선,신용카드
남성,10대,기타,98,3호선,현금
여성,10대,자영업,21,8호선,교통카드
남성,30대,기타,53,6호선,교통카드
남성,30대,학생,12,3호선,교통카드
여성,50대,자영업,92,5호선,교통카드
남성,60대 이상,회사원,81,6호선,현금
남성,50대,기타,24,3호선,교통카드
남성,10대,자영업,32,7호선,신용카드
여성,30대,자영업,18,3호선,신용카드
여성,20대,무직,5,7호선,현금
여성,30대,무직,4,9호선,현금
남성,60대 이상,회사원,91,8호선,교통카드
여성,20대,기타,26,1호선,신용카드
남성,30대,자영업,15,6호선,교통카드
남성,30대,회사원,63,1호선,현금
남성,20대,자영업,86,7호선,현금
여성,30대,회사원,59,9호선,신용카드
여성,60대 이상,무직,67,2호선,교통카드
여성,50대,학생,13,7호선,교통카드
남성,30대,기타,77,2호선,교통카드
여성,50대,자영업,87,3호선,현금
남성,30대,학생,5,9호선,교통카드
여성,40대,자영업,49,5호선,현금
남성,30대,기타,95,8호선,현금
여성,60대 이상,회사원,44,9호선,현금
여성,30대,회사원,46,8호선,현금
여성,40대,자영업,62,9호선,신용카드
남성,30대,무직,13,7호선,신용카드
여성,20대,무직,74,6호선,교통카드
여성,50대,자영업,42,3호선,현금
여성,50대,무직,70,3호선,신용카드
남성,10대,무직,9,2호선,신용카드
남성,30대,학생,78,2호선,현금
남성,40대,회사원,63,1호선,교통카드
남성,40대,자영업,25,6호선,신용카드
여성,40대,무직,37,4호선,현금
남성,20대,무직,65,8호선,교통카드
남성,40대,회사원,72,8호선,신용카드
여성,30대,기타,60,3호선,교통카드
남성,10대,자영업,74,9호선,현금
여성,10대,학생,55,7호선,현금
남성,60대 이상,학생,19,4호선,교통카드
남성,40대,자영업,66,6호선,현금
여성,40대,기타,71,4호선,교통카드
남성,60대 이상,학생,91,2호선,신용카드
여성,30대,무직,31,8호선,교통카드
여성,50대,무직,97,2호선,신용카드
남성,60대 이상,자영업,36,7호선,현금
여성,20대,기타,61,5호선,교통카드
남성,40대,자영업,28,2호선,교통카드
남성,50대,기타,100,2호선,현금
남성,10대,자영업,10,6호선,신용카드
여성,50대,기타,71,5호선,신용카드
여성,30대,자영업,58,3호선,교통카드
여성,60대 이상,학생,75,3호선,교통카드
여성,40대,자영업,17,9호선,교통카드
남성,50대,자영업,93,5호선,교통카드
여성,30대,회사원,75,5호선,신용카드
남성,30대,무직,9,9호선,교통카드
여성,60대 이상,기타,3,5호선,신용카드
남성,10대,회사원,79,1호선,교통카드
여성,30대,회사원,91,3호선,신용카드
여성,60대 이상,회사원,88,7호선,신용카드
남성,40대,기타,9,7호선,교통카드
남성,60대 이상,기타,96,6호선,현금
남성,30대,학생,41,5호선,신용카드
남성,50대,학생,22,2호선,현금
여성,40대,자영업,26,1호선,현금
남성,10대,무직,99,6호선,현금
여성,10대,자영업,1,6호선,현금
여성,20대,학생,100,3호선,현금
여성,10대,기타,42,6호선,현금
남성,10대,학생,69,6호선,현금
여성,60대 이상,기타,19,3호선,교통카드
남성,40대,자영업,30,3호선,교통카드
남성,40대,기타,45,3호선,현금
남성,50대,기타,45,2호선,현금
남성,40대,학생,95,8호선,교통카드
여성,10대,무직,37,3호선,신용카드
남성,40대,기타,28,5호선,현금
남성,40대,자영업,35,6호선,신용카드
여성,60대 이상,기타,57,9호선,교통카드
여성,10대,학생,49,9호선,현금
남성,10대,학생,48,9호선,교통카드
여성,20대,자영업,51,8호선,현금
여성,20대,학생,55,2호선,교통카드
남성,30대,무직,79,7호선,교통카드
남성,50대,무직,58,6호선,교통카드
여성,40대,무직,84,1호선,신용카드
여성,20대,자영업,36,1호선,교통카드
여성,20대,무직,69,5호선,신용카드
남성,10대,학생,76,5호선,교통카드
남성,30대,기타,14,5호선,신용카드
남성,20대,회사원,76,9호선,신용카드
여성,30대,회사원,80,9호선,교통카드
여성,20대,회사원,28,1호선,신용카드
남성,50대,기타,67,9호선,현금
남성,40대,학생,94,6호선,교통카드
여성,50대,회사원,54,2호선,교통카드
여성,20대,자영업,6,8호선,교통카드
남성,50대,무직,50,1호선,신용카드
여성,60대 이상,회사원,70,3호선,신용카드
남성,60대 이상,기타,61,3호선,교통카드
남성,50대,회사원,4,4호선,교통카드
남성,30대,기타,53,6호선,현금
남성,20대,기타,7,6호선,현금
남성,10대,무직,32,1호선,교통카드
남성,30대,기타,43,4호선,교통카드
남성,20대,기타,3,5호선,교통카드
여성,60대 이상,무직,17,4호선,신용카드
여성,50대,기타,61,2호선,신용카드
여성,50대,자영업,83,1호선,현금
남성,30대,자영업,91,4호선,현금
여성,10대,자영업,48,2호선,현금
여성,60대 이상,자영업,99,3호선,현금
남성,20대,회사원,61,3호선,교통카드
남성,60대 이상,학생,64,2호선,신용카드
남성,40대,자영업,38,1호선,교통카드
남성,20대,무직,90,9호선,교통카드
남성,20대,자영업,57,7호선,교통카드
남성,60대 이상,학생,68,5호선,신용카드
여성,60대 이상,회사원,86,5호선,신용카드
여성,60대 이상,학생,55,7호선,현금
남성,50대,자영업,69,7호선,현금
여성,50대,학생,59,8호선,현금
남성,10대,학생,99,1호선,신용카드
여성,60대 이상,자영업,25,8호선,신용카드
여성,10대,기타,13,9호선,교통카드
남성,20대,회사원,32,9호선,현금
여성,60대 이상,무직,59,2호선,교통카드
남성,60대 이상,자영업,58,4호선,현금
여성,30대,자영업,70,2호선,교통카드
남성,50대,무직,63,1호선,현금
남성,10대,기타,64,6호선,교통카드
여성,40대,무직,68,6호선,교통카드
여성,30대,기타,96,4호선,신용카드
남성,10대,회사원,87,5호선,신용카드
여성,30대,자영업,95,8호선,현금
남성,10대,회사원,45,6호선,신용카드
여성,30대,회사원,36,3호선,신용카드
남성,10대,자영업,53,8호선,신용카드
여성,60대 이상,기타,64,9호선,교통카드
여성,50대,회사원,17,4호선,신용카드
여성,50대,기타,52,7호선,현금
남성,10대,무직,48,6호선,교통카드
남성,60대 이상,무직,82,8호선,교통카드
여성,10대,자영업,26,7호선,신용카드
남성,50대,자영업,98,3호선,교통카드
남성,40대,무직,46,8호선,현금
여성,60대 이상,자영업,33,4호선,교통카드
여성,30대,학생,1,2호선,신용카드
여성,60대 이상,회사원,16,4호선,교통카드
여성,50대,자영업,79,1호선,현금
남성,30대,회사원,85,5호선,신용카드
여성,50대,학생,12,9호선,현금
여성,60대 이상,무직,68,8호선,신용카드
남성,30대,회사원,79,8호선,교통카드
여성,40대,무직,7,8호선,신용카드
여성,10대,기타,95,5호선,현금
여성,30대,학생,46,9호선,교통카드
남성,60대 이상,무직,74,4호선,교통카드
남성,60대 이상,자영업,81,9호선,현금
남성,50대,학생,46,1호선,현금
여성,10대,회사원,83,6호선,교통카드
남성,40대,회사원,57,5호선,교통카드
남성,20대,회사원,7,5호선,신용카드
남성,30대,회사원,72,4호선,교통카드
남성,60대 이상,자영업,19,7호선,신용카드
여성,10대,학생,90,7호선,현금
남성,20대,자영업,59,3호선,신용카드
남성,30대,무직,20,1호선,현금
여성,30대,기타,73,1호선,신용카드
남성,50대,학생,47,4호선,현금
여성,40대,기타,96,2호선,신용카드
여성,40대,기타,74,5호선,신용카드
여성,20대,회사원,85,2호선,현금
남성,40대,자영업,27,1호선,현금
남성,50대,무직,68,3호선,현금
남성,10대,기타,72,1호선,현금
남성,10대,무직,21,2호선,신용카드
남성,60대 이상,기타,8,4호선,교통카드
여성,50대,기타,61,6호선,교통카드
여성,60대 이상,기타,5,9호선,교통카드
남성,10대,회사원,58,3호선,신용카드
여성,30대,무직,9,8호선,현금
여성,10대,회사원,54,8호선,신용카드
여성,30대,학생,12,6호선,현금
여성,30대,자영업,18,5호선,교통카드
여성,30대,자영업,50,6호선,현금
여성,50대,회사원,26,1호선,현금
여성,40대,자영업,18,3호선,현금
여성,30대,무직,83,2호선,현금
여성,30대,자영업,36,1호선,현금
여성,20대,회사원,17,3호선,신용카드
여성,50대,학생,44,2호선,신용카드
여성,40대,기타,24,1호선,교통카드
여성,10대,학생,26,5호선,신용카드
여성,30대,무직,74,5호선,신용카드
여성,60대 이상,기타,25,2호선,현금
여성,50대,회사원,61,5호선,교통카드
여성,20대,자영업,16,9호선,신용카드
여성,50대,무직,43,8호선,교통카드
남성,40대,자영업,80,4호선,신용카드
여성,50대,무직,98,2호선,신용카드
여성,50대,자영업,12,9호선,교통카드
남성,30대,학생,5,7호선,신용카드
남성,50대,자영업,14,9호선,현금
남성,10대,자영업,45,5호선,신용카드
남성,20대,자영업,23,5호선,현금
여성,30대,무직,23,7호선,현금
남성,50대,기타,84,8호선,신용카드
남성,50대,기타,60,9호선,현금
여성,60대 이상,회사원,58,9호선,교통카드
남성,60대 이상,회사원,11,2호선,교통카드
여성,50대,무직,1,4호선,교통카드
여성,10대,기타,62,1호선,신용카드
남성,50대,회사원,94,1호선,신용카드
여성,10대,회사원,36,3호선,현금
남성,10대,자영업,77,3호선,현금
남성,40대,무직,86,2호선,현금
남성,10대,회사원,41,2호선,교통카드
여성,50대,학생,34,4호선,신용카드
여성,20대,회사원,40,1호선,교통카드
남성,50대,자영업,22,3호선,신용카드
여성,40대,무직,33,8호선,신용카드
남성,50대,자영업,90,8호선,신용카드
남성,40대,회사원,63,9호선,현금
여성,30대,학생,99,8호선,교통카드
남성,30대,학생,54,2호선,현금
남성,10대,회사원,48,6호선,현금
여성,20대,회사원,23,7호선,신용카드
여성,20대,무직,47,3호선,신용카드
여성,10대,기타,52,8호선,현금
남성,60대 이상,회사원,51,6호선,현금
여성,10대,학생,100,8호선,현금
남성,30대,회사원,35,2호선,현금
여성,50대,회사원,11,4호선,교통카드
남성,50대,무직,2,7호선,교통카드
여성,10대,자영업,62,3호선,교통카드
여성,60대 이상,자영업,53,2호선,신용카드
여성,10대,자영업,14,8호선,교통카드
남성,10대,기타,90,2호선,현금
남성,50대,무직,71,3호선,현금
여성,30대,무직,93,7호선,신용카드
여성,10대,무직,29,2호선,현금
남성,50대,자영업,15,9호선,신용카드
남성,50대,회사원,47,7호선,교통카드
여성,40대,기타,80,7호선,현금
여성,60대 이상,기타,58,6호선,신용카드
남성,40대,회사원,35,1호선,교통카드
남성,60대 이상,회사원,57,4호선,신용카드
남성,50대,기타,65,3호선,신용카드
여성,60대 이상,자영업,69,8호선,신용카드
여성,50대,회사원,70,8호선,교통카드
여성,20대,기타,4,6호선,신용카드
남성,10대,자영업,89,9호선,신용카드
여성,30대,학생,7,8호선,교통카드
여성,20대,자영업,43,1호선,현금
남성,20대,자영업,47,1호선,교통카드
남성,30대,회사원,76,5호선,신용카드
남성,40대,학생,98,1호선,신용카드
남성,20대,기타,41,1호선,교통카드
여성,50대,자영업,35,2호선,교통카드
여성,60대 이상,학생,59,5호선,현금
남성,30대,자영업,95,4호선,교통카드
여성,60대 이상,무직,26,2호선,현금
여성,30대,회사원,53,9호선,교통카드
남성,30대,기타,95,2호선,현금
여성,10대,무직,42,5호선,교통카드
여성,20대,학생,75,2호선,현금
여성,40대,기타,43,4호선,교통카드
남성,10대,무직,24,6호선,신용카드
남성,50대,자영업,8,9호선,교통카드
남성,40대,학생,77,8호선,현금
여성,60대 이상,자영업,33,1호선,신용카드
여성,30대,무직,11,7호선,신용카드
남성,30대,기타,80,9호선,교통카드
여성,50대,무직,58,7호선,신용카드
여성,60대 이상,회사원,24,3호선,현금
남성,30대,기타,57,4호선,현금
여성,50대,회사원,74,1호선,신용카드
여성,50대,회사원,9,9호선,신용카드
여성,10대,기타,69,6호선,신용카드
여성,30대,무직,27,3호선,현금
여성,40대,회사원,35,6호선,신용카드
여성,60대 이상,기타,6,6호선,교통카드
남성,30대,무직,83,4호선,신용카드
남성,30대,회사원,88,3호선,현금
남성,60대 이상,회사원,91,7호선,신용카드
남성,10대,학생,78,6호선,교통카드
남성,50대,학생,36,4호선,현금
여성,60대 이상,자영업,53,6호선,현금
여성,20대,무직,98,9호선,현금
여성,10대,회사원,26,4호선,신용카드
남성,10대,무직,73,5호선,교통카드
남성,40대,학생,26,1호선,현금
남성,10대,회사원,38,3호선,교통카드
여성,20대,자영업,25,6호선,현금
남성,10대,무직,18,3호선,현금
여성,20대,회사원,91,6호선,교통카드
남성,30대,기타,7,9호선,신용카드
남성,60대 이상,자영업,77,9호선,신용카드
남성,40대,기타,48,5호선,현금
남성,50대,회사원,94,4호선,현금
여성,30대,기타,3,6호선,신용카드
여성,50대,회사원,62,5호선,교통카드
여성,60대 이상,무직,12,3호선,현금
남성,10대,기타,92,7호선,신용카드
여성,50대,학생,56,7호선,현금
여성,10대,자영업,34,8호선,현금
남성,20대,회사원,21,8호선,신용카드
남성,50대,무직,95,5호선,교통카드
남성,60대 이상,학생,85,3호선,교통카드
남성,50대,무직,77,9호선,신용카드
남성,40대,무직,9,2호선,교통카드
남성,30대,회사원,66,8호선,신용카드
여성,10대,기타,16,5호선,신용카드
여성,20대,기타,51,7호선,현금
남성,30대,자영업,17,8호선,신용카드
여성,20대,자영업,61,4호선,현금
남성,50대,기타,35,9호선,현금
남성,50대,자영업,22,4호선,현금
남성,30대,학생,36,4호선,현금
여성,60대 이상,회사원,95,8호선,신용카드
여성,30대,회사원,18,6호선,교통카드
여성,20대,자영업,8,7호선,교통카드
남성,50대,회사원,82,3호선,교통카드
남성,10대,무직,89,9호선,현금
남성,60대 이상,학생,64,8호선,신용카드
여성,10대,기타,62,1호선,현금
남성,10대,학생,50,9호선,현금
여성,20대,회사원,28,6호선,교통카드
여성,10대,자영업,72,8호선,교통카드
여성,30대,회사원,54,2호선,교통카드
남성,10대,자영업,4,4호선,교통카드
남성,40대,자영업,54,1호선,신용카드
여성,60대 이상,회사원,55,2호선,교통카드
여성,20대,자영업,61,5호선,현금
여성,10대,기타,95,5호선,교통카드
여성,60대 이상,학생,6,9호선,현금
여성,60대 이상,무직,29,9호선,현금
남성,50대,무직,78,1호선,현금
남성,60대 이상,자영업,17,2호선,교통카드
남성,40대,기타,10,8호선,교통카드
남성,40대,회사원,36,4호선,교통카드
남성,30대,자영업,29,2호선,교통카드
남성,50대,무직,12,9호선,현금
여성,40대,학생,60,1호선,현금
남성,60대 이상,무직,8,3호선,현금
남성,60대 이상,자영업,52,3호선,현금
남성,60대 이상,학생,52,5호선,현금
남성,50대,학생,37,2호선,신용카드
여성,50대,회사원,17,2호선,현금
남성,40대,기타,53,9호선,현금
남성,20대,무직,60,2호선,현금
남성,40대,회사원,50,9호선,교통카드
여성,30대,자영업,94,3호선,현금
남성,10대,회사원,77,9호선,신용카드
남성,20대,회사원,69,2호선,현금
여성,30대,학생,78,3호선,교통카드
여성,20대,학생,48,7호선,현금
여성,20대,학생,97,2호선,교통카드
여성,10대,회사원,10,1호선,신용카드
남성,20대,기타,52,1호선,신용카드
남성,60대 이상,무직,14,8호선,교통카드
여성,20대,회사원,3,1호선,현금
남성,60대 이상,학생,95,5호선,신용카드
여성,20대,자영업,74,8호선,현금
여성,30대,회사원,58,9호선,교통카드
남성,40대,자영업,38,7호선,신용카드
남성,40대,학생,15,5호선,신용카드
남성,30대,회사원,78,5호선,신용카드
여성,20대,기타,67,3호선,현금
여성,30대,무직,59,1호선,현금
여성,50대,학생,66,1호선,신용카드
여성,50대,기타,65,9호선,현금
여성,30대,기타,33,9호선,현금
여성,60대 이상,회사원,6,4호선,현금
남성,20대,기타,25,2호선,교통카드
여성,30대,무직,74,5호선,신용카드
남성,20대,기타,7,2호선,현금
남성,20대,기타,9,8호선,교통카드
여성,30대,회사원,78,1호선,현금
남성,60대 이상,회사원,93,3호선,교통카드
여성,10대,학생,21,6호선,신용카드
여성,30대,무직,9,2호선,신용카드
여성,10대,기타,99,4호선,교통카드
남성,40대,회사원,69,7호선,신용카드
남성,50대,회사원,17,1호선,현금
남성,50대,기타,29,8호선,현금
여성,60대 이상,학생,64,5호선,신용카드
남성,40대,무직,23,2호선,교통카드
여성,60대 이상,학생,26,9호선,신용카드
남성,50대,기타,12,1호선,교통카드
남성,50대,학생,23,4호선,현금
여성,10대,기타,7,3호선,신용카드
여성,40대,학생,20,5호선,현금
남성,20대,무직,31,8호선,현금
남성,10대,무직,59,7호선,교통카드
남성,60대 이상,자영업,85,5호선,현금
여성,40대,자영업,58,4호선,교통카드
남성,60대 이상,회사원,90,8호선,신용카드
남성,20대,기타,2,8호선,교통카드
여성,10대,기타,76,6호선,현금
남성,60대 이상,무직,56,1호선,교통카드
여성,20대,무직,98,5호선,신용카드
여성,60대 이상,회사원,96,2호선,교통카드
남성,30대,자영업,40,8호선,교통카드
여성,50대,기타,97,8호선,교통카드
여성,50대,회사원,73,5호선,교통카드
여성,50대,자영업,78,9호선,현금
남성,10대,학생,66,5호선,현금
여성,30대,무직,14,8호선,신용카드
남성,60대 이상,자영업,51,6호선,신용카드
남성,50대,학생,17,8호선,현금
남성,30대,회사원,3,6호선,교통카드
남성,30대,자영업,84,9호선,신용카드
여성,40대,무직,63,7호선,교통카드
여성,40대,기타,4,4호선,신용카드
남성,30대,자영업,41,5호선,신용카드
여성,60대 이상,무직,74,9호선,신용카드
여성,40대,자영업,14,7호선,현금
여성,30대,자영업,60,3호선,교통카드
여성,10대,회사원,18,7호선,현금
여성,30대,학생,97,9호선,신용카드
여성,50대,회사원,85,2호선,신용카드
남성,10대,학생,90,2호선,현금
여성,10대,자영업,33,7호선,교통카드
남성,60대 이상,학생,55,4호선,교통카드
여성,10대,학생,74,6호선,현금
남성,40대,무직,8,6호선,교통카드
남성,30대,자영업,33,3호선,현금
여성,40대,자영업,98,1호선,신용카드
여성,40대,학생,13,9호선,현금
여성,40대,학생,84,8호선,현금
남성,10대,무직,15,2호선,신용카드
여성,20대,회사원,4,7호선,신용카드
여성,60대 이상,회사원,3,5호선,교통카드
여성,30대,자영업,33,9호선,현금
남성,30대,자영업,10,1호선,교통카드
남성,60대 이상,기타,3,6호선,현금
여성,30대,자영업,76,6호선,신용카드
여성,30대,무직,40,8호선,신용카드
여성,60대 이상,학생,62,8호선,신용카드
여성,50대,회사원,14,2호선,신용카드
여성,40대,기타,99,7호선,신용카드
남성,30대,학생,86,6호선,신용카드
남성,10대,학생,42,6호선,교통카드
남성,20대,무직,74,5호선,현금
남성,50대,자영업,57,5호선,현금
여성,40대,자영업,85,3호선,교통카드
남성,20대,무직,13,7호선,신용카드
남성,10대,기타,95,5호선,현금
여성,40대,회사원,71,2호선,현금
남성,30대,회사원,95,2호선,신용카드
남성,20대,학생,2,5호선,교통카드
여성,10대,기타,74,8호선,현금
여성,60대 이상,기타,55,3호선,교통카드
남성,40대,무직,86,3호선,신용카드
남성,50대,회사원,66,8호선,교통카드
남성,60대 이상,학생,44,6호선,신용카드
남성,10대,무직,88,2호선,신용카드
남성,50대,기타,47,6호선,현금
여성,60대 이상,자영업,10,7호선,교통카드
남성,30대,기타,92,8호선,현금
여성,20대,학생,2,3호선,교통카드
남성,10대,자영업,74,6호선,교통카드
여성,40대,회사원,74,9호선,신용카드
여성,20대,무직,100,8호선,신용카드
남성,30대,회사원,69,1호선,현금
남성,40대,자영업,71,1호선,신용카드
여성,50대,기타,80,6호선,현금
남성,40대,학생,61,2호선,신용카드
여성,30대,기타,65,5호선,현금
여성,20대,회사원,84,4호선,교통카드
여성,10대,무직,45,2호선,신용카드
남성,60대 이상,자영업,57,6호선,신용카드
여성,50대,자영업,14,6호선,교통카드
여성,40대,무직,67,1호선,현금
남성,40대,자영업,62,2호선,교통카드
남성,10대,기타,74,2호선,신용카드
여성,30대,학생,45,2호선,교통카드
남성,50대,무직,45,9호선,신용카드
여성,20대,자영업,17,7호선,현금
여성,50대,학생,87,2호선,현금
남성,60대 이상,회사원,24,1호선,현금
여성,20대,회사원,81,6호선,신용카드
여성,60대 이상,자영업,86,1호선,교통카드
남성,30대,기타,33,3호선,신용카드
남성,30대,무직,22,7호선,신용카드
여성,20대,기타,6,1호선,교통카드
남성,10대,기타,69,1호선,현금
여성,50대,학생,20,4호선,현금
여성,50대,기타,70,1호선,신용카드
여성,10대,회사원,24,3호선,현금
남성,40대,학생,3,1호선,교통카드
여성,30대,자영업,57,7호선,교통카드
여성,30대,학생,35,8호선,신용카드
여성,50대,무직,27,1호선,현금
여성,10대,회사원,94,3호선,현금
여성,40대,학생,44,1호선,신용카드
여성,40대,무직,33,6호선,신용카드
남성,10대,기타,28,4호선,신용카드
남성,30대,학생,73,1호선,신용카드
남성,60대 이상,자영업,44,1호선,신용카드
여성,40대,학생,63,5호선,현금
남성,20대,학생,5,9호선,신용카드
여성,60대 이상,자영업,8,4호선,신용카드
남성,20대,기타,97,9호선,신용카드
남성,20대,기타,58,5호선,신용카드
남성,10대,학생,74,2호선,현금
여성,50대,자영업,88,8호선,교통카드
여성,40대,회사원,12,6호선,현금
남성,20대,자영업,82,9호선,현금
남성,10대,회사원,65,3호선,교통카드
여성,60대 이상,기타,77,9호선,현금
남성,20대,학생,4,6호선,현금
남성,30대,무직,66,5호선,교통카드
남성,40대,기타,84,2호선,현금
여성,20대,무직,99,2호선,신용카드
여성,50대,회사원,9,5호선,신용카드
남성,30대,회사원,80,4호선,신용카드
남성,30대,무직,35,1호선,신용카드
여성,20대,기타,68,9호선,교통카드
남성,20대,회사원,71,7호선,교통카드
여성,10대,기타,87,8호선,교통카드
남성,40대,학생,6,2호선,현금
남성,20대,무직,5,8호선,현금
남성,20대,회사원,92,6호선,현금
여성,20대,학생,48,3호선,교통카드
남성,40대,자영업,17,3호선,교통카드
여성,60대 이상,학생,78,2호선,신용카드
남성,30대,무직,25,2호선,현금
남성,50대,기타,72,1호선,신용카드
남성,50대,학생,39,3호선,신용카드
남성,20대,기타,87,8호선,현금
여성,60대 이상,자영업,9,9호선,현금
여성,20대,기타,12,8호선,현금
남성,20대,회사원,96,5호선,현금
여성,60대 이상,기타,25,2호선,교통카드
남성,40대,기타,90,9호선,현금
여성,20대,학생,19,6호선,신용카드
여성,50대,학생,83,6호선,교통카드
여성,30대,자영업,19,8호선,교통카드
여성,30대,무직,98,4호선,신용카드
여성,60대 이상,무직,89,6호선,신용카드
여성,30대,회사원,20,6호선,교통카드
여성,30대,회사원,100,6호선,현금
남성,20대,회사원,41,3호선,교통카드
남성,40대,학생,11,3호선,교통카드
여성,10대,기타,80,9호선,교통카드
여성,20대,자영업,3,6호선,신용카드
여성,10대,자영업,36,4호선,신용카드
남성,40대,기타,76,6호선,현금
남성,10대,학생,22,4호선,교통카드
여성,10대,기타,94,4호선,교통카드
남성,60대 이상,회사원,78,6호선,신용카드
남성,10대,기타,96,7호선,신용카드
남성,30대,학생,99,7호선,현금
여성,50대,회사원,60,3호선,신용카드
남성,50대,기타,70,3호선,신용카드
남성,20대,기타,15,3호선,교통카드
남성,40대,회사원,95,2호선,신용카드
여성,60대 이상,기타,99,9호선,신용카드
여성,40대,무직,17,1호선,교통카드
남성,20대,자영업,64,9호선,현금
남성,20대,회사원,17,2호선,신용카드
여성,50대,회사원,50,1호선,신용카드
남성,10대,기타,69,4호선,신용카드
여성,40대,무직,17,3호선,현금
여성,30대,회사원,64,1호선,현금
여성,50대,자영업,10,6호선,현금
여성,20대,기타,59,3호선,신용카드
여성,20대,기타,63,7호선,현금
남성,30대,자영업,87,6호선,현금
여성,60대 이상,기타,59,2호선,현금
남성,50대,자영업,94,1호선,신용카드
여성,30대,학생,55,9호선,교통카드
여성,20대,회사원,89,4호선,교통카드
남성,50대,회사원,34,2호선,현금
남성,20대,무직,6,5호선,현금
여성,40대,회사원,1,6호선,현금
남성,60대 이상,무직,67,2호선,현금
남성,20대,기타,5,6호선,현금
여성,60대 이상,학생,27,4호선,교통카드
남성,50대,회사원,58,9호선,신용카드
남성,50대,기타,71,6호선,신용카드
남성,10대,무직,24,4호선,현금
여성,40대,학생,96,1호선,현금
남성,20대,기타,95,1호선,신용카드
여성,60대 이상,회사원,76,2호선,교통카드
여성,30대,학생,14,9호선,신용카드
여성,30대,기타,82,1호선,현금
여성,30대,학생,46,2호선,신용카드
남성,10대,무직,7,6호선,신용카드
남성,40대,무직,99,8호선,현금
여성,30대,기타,23,6호선,현금
여성,40대,기타,5,2호선,신용카드
남성,20대,회사원,17,5호선,교통카드
남성,10대,자영업,19,1호선,신용카드
남성,60대 이상,학생,82,7호선,현금
여성,10대,회사원,96,5호선,신용카드
남성,50대,회사원,24,1호선,현금
여성,60대 이상,무직,9,1호선,신용카드
남성,40대,회사원,81,1호선,현금
여성,30대,기타,42,9호선,현금
여성,40대,학생,17,2호선,신용카드
남성,40대,기타,17,6호선,신용카드
여성,40대,기타,19,4호선,교통카드
여성,20대,학생,14,8호선,신용카드
여성,20대,회사원,82,3호선,신용카드
여성,50대,기타,9,5호선,신용카드
남성,40대,회사원,71,3호선,현금
여성,60대 이상,무직,50,8호선,교통카드
여성,20대,회사원,79,6호선,신용카드
여성,10대,자영업,8,1호선,신용카드
여성,20대,회사원,66,6호선,교통카드
남성,20대,학생,59,4호선,신용카드
남성,20대,기타,14,4호선,현금
여성,60대 이상,학생,7,3호선,교통카드
여성,30대,학생,78,6호선,현금
여성,30대,자영업,22,4호선,현금
